GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Originacion,com.mx.dmx.originacion.config,Config,0,29,0,0,0,8,0,3,0,3
Originacion,com.mx.dmx.originacion.client,ClienteNotificacionPromotor,0,58,0,0,0,15,0,3,0,3
Originacion,com.mx.dmx.originacion,OriginacionInitServiceApplication,0,9,0,0,0,3,0,2,0,2
Originacion,com.mx.dmx.originacion.controller,OriginacionController,0,35,0,0,0,5,0,5,0,5
Originacion,com.mx.dmx.originacion.controller,HealthController,0,46,0,2,0,10,0,5,0,4
Originacion,com.mx.dmx.originacion.entity,CreditoEntity,0,3,0,0,0,1,0,1,0,1
Originacion,com.mx.dmx.originacion.exception,ErrorResponseEntityExceptionHandler,49,95,0,0,10,21,3,7,3,7
Originacion,com.mx.dmx.originacion.service,OriginacionServiceImpl,0,382,0,10,0,86,0,12,0,7
Originacion,com.mx.dmx.originacion.model,ErrorDetalle,0,28,0,0,0,9,0,5,0,5
Originacion,com.mx.dmx.originacion.model,ErrorDescripcion,0,53,0,0,0,20,0,13,0,13
Originacion,com.mx.dmx.originacion.custom,OriginacionException,0,9,0,0,0,4,0,2,0,2
Originacion,com.mx.dmx.originacion.custom,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
Originacion,com.mx.dmx.originacion.custom,ExternalAPiException,0,9,0,0,0,4,0,2,0,2
Originacion,com.mx.dmx.originacion.util,Util,0,19,0,0,0,6,0,1,0,1
